# Community_BERN5_ID	Community_Name	community_Synonyme	Naturalness level	use_type_Text	EUNIS_Code	Natura2000	Sources_plots	account_plots
1	Zosteretum marinae BORG ex VAN GOOR 1921		(semi-)aquatic community	unusable	MA3322	1110v, 1160v	Harmsen 1936 p. 852ff	25
2	Zosteretum noltii HARMSEN 1936		(semi-)aquatic community	unusable	MA3326	1110v, 1140v, 1160v	Harmsen 1936 p. 852ff (also: Westhoff 1969 p. 47 and Schaminée et al. 2010 p. 84; Beudin et al. 2021 Tab. V! p.23)	54
3	Ruppietum maritimae HOCQUETTE 1927	Ruppieto-Zannichellietum FROEDE 1949	(semi-)aquatic community	unusable	MA3322	1110v, *1150v, 1160v	Fukarek 1961 (also: Schubert 2001 p. 4; Beudin et al. 2021 Tab. V p.21)	91
4	Spartinetum townsendii CORILLON 1953		(semi-)aquatic community	unusable	MA3322	1110	Westhoff et Den Held 1969 p. 100 (also Schaminée et al. 2010 p. 269)	44
5	Eleocharitetum parvulae LIBBERT 1940	Eleocharitetum parvulae (Libbert 1940) Gillner 1960	(semi-)aquatic community	unusable	MA2281	1110v, *1150v	Gillner 1960 p. 1-198 (also: Beudin et al. 2021 Tab. V p.21)	32
6	Salicornietum herbacae TÜXEN 1937	Salicornietum europaeae CHRIST 1955	(semi-)aquatic community	unusable	MA2252	1310	Tüxen 1937, p. 46 (also Todor 1948 tab. 20 p. 104; Braun-Blanquet et Tüxen 1951 Tab. 24 and p. 272; Géhu et Franck 1982 Tab. 47bis, p. 248; Westhoff 1969 p. 70 and Schaminée et al. 2010 p. 271)	175
7	Lemno minoris-Spirodeletum polyrrhiza W. KOCH 1954		(semi-)aquatic community	unusable	C1.3	3150v	Passarge 1964 Table 3b (also: Soó 1964b p. 131; Brullo et al. 1994 tab. 2; Pujol et al. 2023 p. 86; Chytry et al. 2011 tab. 2/4 p.77+54; Westhoff 1969 p. 44 and Schaminée et al. 2010 p. 80; Schubert 2001 p. 254)	537
8	Salvinio-Spirodeletum polyrrhiza W. KOCH 1954		(semi-)aquatic community	unusable	C1.3	3150v	Passarge 1964 Table 3c (also: Soó 1964b p. 131; Chytry et al. 2011 tab. 2/7 p.77+64	30
9	Lemnetum minoris OBERDORFER 1957	included in Lemna minor-Ass.	(semi-)aquatic community	unusable	C1.3	3150v	Passarge 1964 Table 3a (also: Pujol et al. 2023 p. 86; Chytry et al. 2011 tab. 2/2 p. 77+49; Quesada et al. 2011 p. 139; Donita et al. 2005 p. 67)	349
10	Lemnetum gibbae W. KOCH 1954	Lemnetum gibbae (W. Koch 1954) Miyawaki et J. Tx. 1960; Wolffio-Lemnetum gibbae BENNAMA 1943	(semi-)aquatic community	unusable	C1.3	3150	Passarge 1964 Table 3d (also: Scoppola 1982 Tab. 13/7 p. 61; Pujol et al. 2023 p. 86; Chytry et al. 2011 tab. 2/5 p. 77+57; Schubert 2001 p. 255)	418
